pptname;invariant;invariantType;variables;tp;postmanAssertion
/v3.1/alpha&v31ListOfCodes&200():::EXIT;size(return.idd.suffixes[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(return.idd.suffixes[..]));1;TODO: Postman Assertion
/v3.1/alpha&v31ListOfCodes&200():::EXIT;size(return.capital[]) one of { 1, 2, 3 };daikon.inv.unary.scalar.OneOfScalar;(size(return.capital[..]));1;TODO: Postman Assertion
/v3.1/alpha&v31ListOfCodes&200():::EXIT;size(return.altSpellings[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(return.altSpellings[..]));1;TODO: Postman Assertion
/v3.1/alpha&v31ListOfCodes&200():::EXIT;size(return.latlng[]) == 2;daikon.inv.unary.scalar.OneOfScalar;(size(return.latlng[..]));1;TODO: Postman Assertion
/v3.1/alpha&v31ListOfCodes&200():::EXIT;size(return.borders[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(return.borders[..]));1;TODO: Postman Assertion
/v3.1/alpha&v31ListOfCodes&200():::EXIT;size(return.car.signs[]) one of { 1, 2 };daikon.inv.unary.scalar.OneOfScalar;(size(return.car.signs[..]));1;TODO: Postman Assertion
/v3.1/alpha&v31ListOfCodes&200():::EXIT;size(return.timezones[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(return.timezones[..]));1;TODO: Postman Assertion
/v3.1/alpha&v31ListOfCodes&200():::EXIT;size(return.continents[]) one of { 1, 2 };daikon.inv.unary.scalar.OneOfScalar;(size(return.continents[..]));1;TODO: Postman Assertion
/v3.1/alpha&v31ListOfCodes&200():::EXIT;size(return.capitalInfo.latlng[]) == 2;daikon.inv.unary.scalar.OneOfScalar;(size(return.capitalInfo.latlng[..]));1;TODO: Postman Assertion
/v3.1/alpha&v31ListOfCodes&200():::EXIT;size(return.capital[]) <= size(return.altSpellings[]);daikon.inv.binary.twoScalar.IntLessEqual;(size(return.capital[..]), size(return.altSpellings[..]));1;TODO: Postman Assertion
/v3.1/alpha&v31ListOfCodes&200():::EXIT;size(return.capital[]) <= size(return.borders[]);daikon.inv.binary.twoScalar.IntLessEqual;(size(return.capital[..]), size(return.borders[..]));1;TODO: Postman Assertion
/v3.1/alpha&v31ListOfCodes&200():::EXIT;size(return.altSpellings[]) >= size(return.car.signs[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(size(return.altSpellings[..]), size(return.car.signs[..]);1;TODO: Postman Assertion
/v3.1/alpha&v31ListOfCodes&200():::EXIT;size(return.altSpellings[]) >= size(return.continents[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(size(return.altSpellings[..]), size(return.continents[..]));1;TODO: Postman Assertion
/v3.1/alpha&v31ListOfCodes&200():::EXIT;size(return.latlng[]) >= size(return.car.signs[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(size(return.latlng[..]), size(return.car.signs[..]));1;TODO: Postman Assertion
/v3.1/alpha&v31ListOfCodes&200():::EXIT;size(return.latlng[]) >= size(return.continents[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(size(return.latlng[..]), size(return.continents[..]));1;TODO: Postman Assertion
/v3.1/alpha&v31ListOfCodes&200():::EXIT;size(return.borders[]) >= size(return.car.signs[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(size(return.borders[..]), size(return.car.signs[..]));1;TODO: Postman Assertion
/v3.1/alpha&v31ListOfCodes&200():::EXIT;size(return.borders[]) >= size(return.continents[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(size(return.borders[..]), size(return.continents[..]));1;TODO: Postman Assertion
/v3.1/alpha&v31ListOfCodes&200():::EXIT;size(return.car.signs[]) <= size(return.capitalInfo.latlng[]);daikon.inv.binary.twoScalar.IntLessEqual;(size(return.car.signs[..]), size(return.capitalInfo.latlng[..]));1;TODO: Postman Assertion
/v3.1/alpha&v31ListOfCodes&200():::EXIT;size(return.continents[]) <= size(return.capitalInfo.latlng[]);daikon.inv.binary.twoScalar.IntLessEqual;(size(return.continents[..]), size(return.capitalInfo.latlng[..]));1;TODO: Postman Assertion
